Date, Category, Amount, Note
31/12/2024, Auto riksha, -20.00, 
31/12/2024, Eating Out, -180.00, 
31/12/2024, Snacks, -35.00, 
30/12/2024, Eating Out, -80.00, Full dish 
30/12/2024, Auto riksha, -10.00, 
29/12/2024, Snacks, -20.00, 
28/12/2024, Eating Out, -60.00, 
28/12/2024, Auto riksha, -20.00, 
27/12/2024, Auto riksha, -10.00, 
27/12/2024, Snacks, -50.00, 
26/12/2024, Snacks, -22.00, 
26/12/2024, Auto riksha, -10.00, 
25/12/2024, Snacks, -20.00, 
24/12/2024, Snacks, -20.00, 
23/12/2024, Snacks, -10.00, 
23/12/2024, Xerox , -9.00, 
22/12/2024, Snacks, -25.00, 
21/12/2024, Eating Out, -40.00, 
21/12/2024, Auto riksha, -10.00, 
21/12/2024, Snacks, -30.00, 
20/12/2024, Auto riksha, -20.00, 
20/12/2024, Eating Out, -260.00, 
19/12/2024, Auto riksha, -20.00, 
19/12/2024, Eating Out, -138.00, 
18/12/2024, Snacks, -20.00, 
18/12/2024, Eating Out, -90.00, 
17/12/2024, Friend, -49.00, 
17/12/2024, Snacks, -20.00, 
16/12/2024, Auto riksha, -10.00, 
16/12/2024, Snacks, -15.00, 
16/12/2024, Eating Out, -40.00, 
15/12/2024, Hair Cut, -100.00, 
14/12/2024, Snacks, -25.00, 
13/12/2024, Eating Out, -70.00, Aloo puri
13/12/2024, Auto riksha, -10.00, 
13/12/2024, Snacks, -10.00, 
12/12/2024, Auto riksha, -30.00, 
12/12/2024, Snacks, -5.00, 
11/12/2024, Auto riksha, -20.00, 
11/12/2024, Eating Out, -50.00, 
11/12/2024, Snacks, -10.00, 
11/12/2024, College Fees, -68900.00, 
10/12/2024, Eating Out, -130.00, 
10/12/2024, Snacks, -26.00, 
09/12/2024, Auto riksha, -10.00, 
09/12/2024, Snacks, -13.00, 
09/12/2024, Eating Out, -50.00, 
07/12/2024, Snacks, -30.00, 
07/12/2024, Auto riksha, -20.00, 
06/12/2024, Snacks, -20.00, 
05/12/2024, Living Expenses, -9000.00, 
05/12/2024, Auto riksha, -30.00, 
05/12/2024, Snacks, -20.00, 
05/12/2024, Mobile recharge , -799.00, 
04/12/2024, Eating Out, -40.00, 
04/12/2024, Snacks, -30.00, 
04/12/2024, Auto riksha, -20.00, 
03/12/2024, Eating Out, -130.00, 
03/12/2024, Snacks, -10.00, 
03/12/2024, Auto riksha, -10.00, 
03/12/2024, Snacks, -10.00, 
02/12/2024, Auto riksha, -10.00, 
01/12/2024, Snacks, -20.00, 
30/11/2024, Auto riksha, -20.00, 
28/11/2024, Eating Out, -70.00, 
28/11/2024, Auto riksha, -20.00, 
27/11/2024, Eating Out, -80.00, 
26/11/2024, Eating Out, -40.00, 
26/11/2024, Auto riksha, -10.00, 
26/11/2024, Snacks, -50.00, 
25/11/2024, Snacks, -20.00, 
25/11/2024, Auto riksha, -10.00, 
25/11/2024, Eating Out, -80.00, 
23/11/2024, Eating Out, -100.00, 
21/11/2024, Hair Cut, -250.00, 
20/11/2024, Bus Ticket , -200.00, 
20/11/2024, Auto riksha, -30.00, 
20/11/2024, Snacks, -30.00, 
18/11/2024, Snacks, -80.00, 
16/11/2024, Petrol , -50.00, 
15/11/2024, Eating Out, -121.00, Pizza 
09/11/2024, Bus Ticket , -200.00, 
05/11/2024, Living Expenses, -9000.00, 
04/11/2024, Mobile recharge , -899.00, 
23/10/2024, Snacks, -41.00, 
22/10/2024, Eating Out, -300.00, 
21/10/2024, Snacks, -55.00, 
21/10/2024, Auto riksha, -10.00, 
20/10/2024, Snacks, -30.00, 
19/10/2024, Snacks, -90.00, 
19/10/2024, Auto riksha, -20.00, 
18/10/2024, Auto riksha, -30.00, 
18/10/2024, Bus Ticket , -200.00, 
14/10/2024, Medicine , -148.00, 
13/10/2024, Medicine , -155.00, 
13/10/2024, Fruits , -75.00, 
13/10/2024, Bus Ticket , -200.00, 
12/10/2024, Snacks, -50.00, 
10/10/2024, Snacks, -90.00, 
09/10/2024, Medicine , -285.00, 
08/10/2024, Eating Out, -120.00, 
08/10/2024, Auto riksha, -20.00, 
08/10/2024, Eating Out, -60.00, 
07/10/2024, Snacks, -40.00, 
07/10/2024, Auto riksha, -10.00, 
07/10/2024, Eating Out, -50.00, 
07/10/2024, Eating Out, -60.00, 
07/10/2024, Snacks, -70.00, 
06/10/2024, Auto riksha, -40.00, 
06/10/2024, Eating Out, -55.00, 
05/10/2024, Living Expenses, -9000.00, 
05/10/2024, Auto riksha, -20.00, 
04/10/2024, Snacks, -30.00, 
04/10/2024, Auto riksha, -20.00, 
